Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,ust_id,mfpn,mpn,lcsc,manufacturer_part_number
1,,battery-2s,B1,18650,BAT_BK-18650-PC4_no_screws,1,,5c70984412875079b91f87e9,,,,
2,Unpolarized capacitor,C,C38,22nF,C_0805_2012Metric,1,~,5c70984712875079b91f8b4a,,,,
3,"Unpolarized capacitor, small symbol",C_Small,C9C10,47nF,C_0805_2012Metric,2,~,,,,,
4,"Unpolarized capacitor, small symbol",C_Small,C1C2C17C18C21C23C29,100nF,C_0805_2012Metric,7,~,5c70984712875079b91f8b45 5c70984712875079b91f8b4c,C0805 1u,C0805 1u,C1525,
5,"Unpolarized capacitor, small symbol",C_Small,C5C24,0.1u,C_0603_1608Metric,2,~,,,,,
6,Unpolarized capacitor,C,C35,1uF,C_0805_2012Metric,1,~,5c70984712875079b91f8b6f,,,,
7,"Unpolarized capacitor, small symbol",C_Small,C16,2.2uF,C_0805_2012Metric,1,~,,,,C23630,
8,"Unpolarized capacitor, small symbol",C_Small,C20,4.7u,C_0805_2012Metric,1,~,,,,,
9,"Unpolarized capacitor, small symbol",C_Small,C3C4C6C7C8C11C19C25C26C27C30C31,10u,C_0805_2012Metric,12,~,,,,,
10,Unpolarized capacitor,C,C22,100nF/50V,C_0805_2012Metric,1,~,5c70984712875079b91f8b4c,,,,
11,Unpolarized capacitor,C,C36C37,100uF/6V3,C_1206_3216Metric,2,~,607c1245128750769ee58ca7,,,,
12,Unpolarized capacitor,C,C12C13C14C15C28C32C33C34,10uF/50V,C_1206_3216Metric,8,~,607c0671128750769ee58c7f,,,,
13,"75V 0.15A Fast switching Diode, SOD-323",1N4148WS,D6,1N4148WS,D_0805_2012Metric,1,https://www.vishay.com/docs/85751/1n4148ws.pdf,5c70984512875079b91f88c5,,,,
14,Light emitting diode,LED,D1D3D4D5D7D8,LED,LED_1206,6,~,,,,,
15,Schottky diode,D_Schottky,D2,PDS760-13,D_PowerDI-5,1,~,6087aaaf128750769ee58fb7,,,,
16,,CONN1_1,J2J3J8J9,CONN1_1,WAGO256,4,,,,,,
17,1x02 2.54 mm pitch header,HEADER_1x02,J11,HEADER_1x02,Straight_1x02,1,,,,,,
18,"2x01 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x01_PARALLEL,J6J7J10,HEADER_2x01_PARALLEL,Straight_1x02,3,,,,,,
19,"2x05 2.54 mm pitch header, 2 pins next to each other are connected",HEADER_2x05_PARALLEL,J12,HEADER_2x05_PARALLEL,Straight_2x05,1,,,,,,
20,,JUMP_4X2,J4,JUMP_4X2,Straight_2x04,1,,,,,,
21,USB 2.0-only Type-C Receptacle connector,USBC_USB4105-GF-A,J1,USBC_USB4105-GF-A,USBC GCT_USB4105-GF-A,1,,5fa0f94612875025b397795e,USB4105-GF-A,USB4105-GF-A,,
22,"Inductor, small symbol",L_Small,L1,1uH,L_1008_2520Metric,1,~,,,,,
